review_order,facet_id,canonical_target,original_value_candidate,corrected_value_candidate,reviewer_decision,candidate_expression,category_count,category_local_codes,apply_status,reason
30,product_form,capsule,capsule,,APPROVE_ALIAS,알약,16,"{""health-functional-food:blood_sugar_metabolic"": 3, ""health-functional-food:dietary_fiber"": 7, ""health-functional-food:eye_health"": 1, ""health-functional-food:heart_blood"": 1, ""health-functional-food:joint_health"": 4, ""health-functional-food:liver_health"": 2, ""health-functional-food:male_health"": 1, ""health-functional-food:omega_fatty_acid"": 1, ""health-functional-food:other_functional"": 2, ""health-functional-food:probiotics"": 2, ""health-functional-food:propolis"": 2, ""health-functional-food:protein"": 3, ""health-functional-food:red_ginseng"": 2, ""health-functional-food:skin_collagen"": 1, ""health-functional-food:theanine_sleep"": 2, ""health-functional-food:vitamin_mineral"": 2}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
31,product_form,capsule,liquid,capsule,NEEDS_REVIEW,알약,16,"{""health-functional-food:blood_sugar_metabolic"": 3, ""health-functional-food:dietary_fiber"": 7, ""health-functional-food:eye_health"": 1, ""health-functional-food:heart_blood"": 1, ""health-functional-food:joint_health"": 4, ""health-functional-food:liver_health"": 2, ""health-functional-food:male_health"": 1, ""health-functional-food:omega_fatty_acid"": 1, ""health-functional-food:other_functional"": 2, ""health-functional-food:probiotics"": 2, ""health-functional-food:propolis"": 2, ""health-functional-food:protein"": 3, ""health-functional-food:red_ginseng"": 2, ""health-functional-food:skin_collagen"": 1, ""health-functional-food:theanine_sleep"": 2, ""health-functional-food:vitamin_mineral"": 2}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
32,product_form,capsule,powder,capsule,NEEDS_REVIEW,알약,16,"{""health-functional-food:blood_sugar_metabolic"": 3, ""health-functional-food:dietary_fiber"": 7, ""health-functional-food:eye_health"": 1, ""health-functional-food:heart_blood"": 1, ""health-functional-food:joint_health"": 4, ""health-functional-food:liver_health"": 2, ""health-functional-food:male_health"": 1, ""health-functional-food:omega_fatty_acid"": 1, ""health-functional-food:other_functional"": 2, ""health-functional-food:probiotics"": 2, ""health-functional-food:propolis"": 2, ""health-functional-food:protein"": 3, ""health-functional-food:red_ginseng"": 2, ""health-functional-food:skin_collagen"": 1, ""health-functional-food:theanine_sleep"": 2, ""health-functional-food:vitamin_mineral"": 2}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
33,product_form,capsule,tablet,capsule,NEEDS_REVIEW,알약,16,"{""health-functional-food:blood_sugar_metabolic"": 3, ""health-functional-food:dietary_fiber"": 7, ""health-functional-food:eye_health"": 1, ""health-functional-food:heart_blood"": 1, ""health-functional-food:joint_health"": 4, ""health-functional-food:liver_health"": 2, ""health-functional-food:male_health"": 1, ""health-functional-food:omega_fatty_acid"": 1, ""health-functional-food:other_functional"": 2, ""health-functional-food:probiotics"": 2, ""health-functional-food:propolis"": 2, ""health-functional-food:protein"": 3, ""health-functional-food:red_ginseng"": 2, ""health-functional-food:skin_collagen"": 1, ""health-functional-food:theanine_sleep"": 2, ""health-functional-food:vitamin_mineral"": 2}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
34,intake_convenience,convenient,convenient,,APPROVE_ALIAS,간편하게 먹,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
35,intake_convenience,convenient,inconvenient,convenient,NEEDS_REVIEW,간편하게 먹,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
36,tablet_size,small,large,small,NEEDS_REVIEW,알이 작,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
37,tablet_size,small,small,,APPROVE_ALIAS,알이 작,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
38,product_form,powder,capsule,powder,NEEDS_REVIEW,분말,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
39,product_form,powder,liquid,powder,NEEDS_REVIEW,분말,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
40,product_form,powder,powder,,APPROVE_ALIAS,분말,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
41,product_form,powder,tablet,powder,NEEDS_REVIEW,분말,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
