review_id,product_id,product_name,service_category,review_text,mapping_scope,consumer_expression,normalized_concept,existing_facet_match,existing_value_match,discovery_type,proposed_facet,proposed_value,evidence_sentence,confidence,medical_outcome_flag
414,72,뉴트리미 에센셜팩 2개월분 60포 (30포*2개) (개당 150정),health-functional-food,늘 복용하고 있는데 좋은걸 느낍니다~~~,HFF_MAPPED,,non_facet,,,NON_FACET,,,잘복용하고 있어요~~ 늘 복용하고 있는데 좋은걸 느낍니다~~~,LOW,False
413,,,UNKNOWN,늘먹는 단백질 입니다~~,UNMAPPED_REFERENCE,,non_facet,,,NON_FACET,,,잘받았읍니다~~~ 늘먹는 단백질 입니다~~,LOW,False
412,73,뉴트리미 에센셜팩 3개월분 90포 (30포*3개) (개당 150정),health-functional-food,지인께 선물했는데 좋아하네요~~~,HFF_MAPPED,선물,non_facet,,,NON_FACET,,,잘받았읍니다~~~ 지인께 선물했는데 좋아하네요~~~,LOW,False
410,15,칼마디앤K2,health-functional-food,나이들어 칼슘.마그네슘이 필요성이 느껴서 구매했습니다 전에 대표님이 귄해 주시기도 했으며 산사람의 고객이라도 성의껏 답변 주신 대표님의 성의가 감사해서 믿고 복용하려 합니다 감사합니다,HFF_MAPPED,,non_facet,,,NON_FACET,,,칼마디 나이들어 칼슘.마그네슘이 필요성이 느껴서 구매했습니다 전에 대표님이 귄해 주시기도 했으며 산사람의 고객이라도 성의껏 답변 주신 대표님의 성의가 감사해서 믿고 복용하려 합니다 감사합니다,LOW,False
409,16,뉴트리미 오메가3 (500정),health-functional-food,좋은상품 으로 해주셔서 너무 감사히 잘 복용하고 있어요~~ 감사합니다~~^*6,HFF_MAPPED,,non_facet,,,NON_FACET,,,질 좋은 오메가3 좋은상품 으로 해주셔서 너무 감사히 잘 복용하고 있어요~~ 감사합니다~~^*6,LOW,False
408,16,뉴트리미 오메가3 (500정),health-functional-food,다른 제품 복용하다 교체 해서 복용중입니다~~`,HFF_MAPPED,,non_facet,,,NON_FACET,,,질 좋은 오메가3 다른 제품 복용하다 교체 해서 복용중입니다~~`,LOW,False
407,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,좋은 영양제 주셔서 감사히 잘 복용하고 건강해져가고 있어서 감사드립니다~~ 번창하세요~~^*,HFF_MAPPED,,non_facet,,,NON_FACET,,,복용중이예요~` 좋은 영양제 주셔서 감사히 잘 복용하고 건강해져가고 있어서 감사드립니다~~ 번창하세요~~^*,LOW,False
406,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,먹기 편하고 한번에 여러 영양소를 먹을수 있으니 좋은거 같아요,HFF_MAPPED,먹기 편,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,먹기 편하고 한번에 여러 영양소를 먹을수 있으니 좋은거 같아요 먹기 편하고 한번에 여러 영양소를 먹을수 있으니 좋은거 같아요,HIGH,False
405,22,뉴트리미 프로바이오텍트 플러스 이뮨,health-functional-food,복용중입니다~~ 대표님을 믿고요~~ 감사합니다~~`,HFF_MAPPED,,non_facet,,,NON_FACET,,,복용중이예요~` 복용중입니다~~ 대표님을 믿고요~~ 감사합니다~~`,LOW,False
404,16,뉴트리미 오메가3 (500정),health-functional-food,다른데걸 먹다가 이상품으로 바꾸었어요~~~ 감사합니다~~,HFF_MAPPED,,non_facet,,,NON_FACET,,,질 좋은 오메가3 다른데걸 먹다가 이상품으로 바꾸었어요~~~ 감사합니다~~,LOW,False
403,,,UNKNOWN,좋은 단백질 꾸준이 복용 건강해지기위해 노력중입니다 감사합니다,UNMAPPED_REFERENCE,,non_facet,,,NON_FACET,,,좋은 단백질 좋은 단백질 꾸준이 복용 건강해지기위해 노력중입니다 감사합니다,LOW,False
402,73,뉴트리미 에센셜팩 3개월분 90포 (30포*3개) (개당 150정),health-functional-food,꾸준히 잘 드시고 계십니다~~~,HFF_MAPPED,,non_facet,,,NON_FACET,,,계속 먹고있는데 좋아요~~ 꾸준히 잘 드시고 계십니다~~~,LOW,False
401,73,뉴트리미 에센셜팩 3개월분 90포 (30포*3개) (개당 150정),health-functional-food,에센셜팩은 항상 준비해 두고 여분을 갖고 있을 만큼 애용하고 있습니다. 이번에 네이버와 홈피에서 프로모션해서 6개월치 구매했습니다 같이 복용하면 3 ㅡ4 개월 분입니다 항상 모니터링하고 있습니다. 대표님도 많이 친절하시고요 다만 홈피에서는 대응이 좀 느립니다. 또 프로모션 기다리겠습니다,HFF_MAPPED,프로모션,non_facet,,,NON_FACET,,,잘받았습니다 에센셜팩은 항상 준비해 두고 여분을 갖고 있을 만큼 애용하고 있습니다. 이번에 네이버와 홈피에서 프로모션해서 6개월치 구매했습니다 같이 복용하면 3 ㅡ4 개월 분입니다 항상 모니터링하고 있습니다. 대표님도 많이 친절하시고요 다만 홈피에서는 대응이 좀 느립니다. 또 프로모션 기다리겠습니다,LOW,False
400,16,뉴트리미 오메가3 (500정),health-functional-food,영양제 실허하는 남편 설득해서 구매해줬더니 열심히 잘드시고 계시네요~~,HFF_MAPPED,,non_facet,,,NON_FACET,,,남편 복용용으로~~~~~~ 영양제 실허하는 남편 설득해서 구매해줬더니 열심히 잘드시고 계시네요~~,LOW,False
399,,,UNKNOWN,계속 먹고있는데 좋아요~~ 고기가 잘안먹혀서 단백질 보충용으로 꾸준이 복용중입니다,UNMAPPED_REFERENCE,,non_facet,,,NON_FACET,,,계속 먹고있는데 좋아요~~ 계속 먹고있는데 좋아요~~ 고기가 잘안먹혀서 단백질 보충용으로 꾸준이 복용중입니다,LOW,False
398,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,내가 복용해보고 좋타고 했더니 먹어보구 싶다해서요,HFF_MAPPED,선물,non_facet,,,NON_FACET,,,지인에게 선물~~ 내가 복용해보고 좋타고 했더니 먹어보구 싶다해서요,LOW,False
